,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
45309,59,1,0,0.0,365,0,0,0,1,0,0,1,0
45310,100,1,0,0.0,90,0,1,0,0,0,1,0,0
45311,40,5,3,1.45,44,0,1,0,0,0,0,1,0
45312,75,2,3,1.7,61,0,1,0,0,0,0,1,0
45313,175,2,1,0.91,364,0,0,0,1,0,1,0,0
45314,70,1,0,0.0,78,0,1,0,0,0,0,1,0
45315,45,1,0,0.0,63,0,0,0,1,0,0,1,0
45316,28,3,1,0.94,0,0,1,0,0,0,0,1,0
45317,150,3,1,0.91,71,0,1,0,0,0,1,0,0
45318,30,14,3,1.25,61,0,1,0,0,0,0,1,0
45319,105,1,8,3.08,90,0,0,0,1,0,1,0,0
45320,74,1,4,2.55,147,0,1,0,0,0,0,1,0
45321,90,3,1,1.0,90,0,0,0,1,0,0,1,0
45322,695,3,3,1.27,179,0,0,1,0,0,1,0,0
45323,59,2,7,4.04,126,0,0,0,1,0,0,1,0
45324,29,134,0,0.0,101,0,0,1,0,0,0,1,0
45325,300,4,1,0.94,179,0,1,0,0,0,1,0,0
45326,120,5,1,1.0,0,0,0,1,0,0,1,0,0
45327,103,5,1,0.94,0,0,0,0,1,0,1,0,0
45328,67,3,2,1.11,19,0,1,0,0,0,1,0,0
45329,165,7,0,0.0,179,0,1,0,0,0,1,0,0
45330,95,2,8,3.81,208,0,0,1,0,0,1,0,0
45331,55,1,2,0.8,183,0,0,0,1,0,1,0,0
45332,79,4,0,0.0,0,0,1,0,0,0,0,1,0
45333,65,1,11,4.71,154,0,1,0,0,0,0,1,0
45334,85,3,2,0.88,0,0,1,0,0,0,1,0,0
45335,70,1,2,1.4,48,0,1,0,0,0,1,0,0
45336,150,13,1,0.4,0,0,0,1,0,0,1,0,0
45337,195,5,2,1.54,35,0,0,1,0,0,1,0,0
45338,99,1,2,1.71,304,0,1,0,0,0,0,1,0
45339,150,3,3,1.61,180,0,1,0,0,0,1,0,0
45340,280,5,0,0.0,0,0,0,1,0,0,1,0,0
45341,60,3,1,0.91,89,0,0,0,1,0,0,1,0
45342,70,2,1,0.43,0,0,1,0,0,0,0,1,0
45343,499,1,2,1.09,234,0,0,1,0,0,1,0,0
45344,150,2,1,0.59,58,0,0,1,0,0,1,0,0
45345,60,20,1,0.46,106,0,1,0,0,0,0,1,0
45346,47,5,14,5.68,124,0,0,1,0,0,0,1,0
45347,150,5,2,1.76,179,0,0,1,0,0,0,1,0
45348,150,7,2,0.97,179,0,0,1,0,0,0,1,0
45349,29,1,6,2.28,180,0,0,1,0,0,0,1,0
45350,40,1,0,0.0,89,0,1,0,0,0,0,0,1
45351,98,4,2,0.85,6,0,1,0,0,0,1,0,0
45352,179,1,12,4.62,286,0,0,1,0,0,0,1,0
45353,199,1,11,4.29,339,0,0,1,0,0,0,1,0
45354,59,20,0,0.0,0,0,1,0,0,0,0,1,0
45355,85,3,9,3.51,75,0,0,0,1,0,1,0,0
45356,150,2,3,1.43,32,0,0,0,1,0,1,0,0
45357,325,1,11,5.5,135,0,0,1,0,0,1,0,0
45358,80,1,13,5.74,176,0,1,0,0,0,0,1,0
45359,180,5,5,3.57,322,0,0,1,0,0,1,0,0
45360,26,30,0,0.0,93,0,1,0,0,0,0,1,0
45361,50,3,2,1.15,0,0,1,0,0,0,0,1,0
45362,100,1,4,1.71,11,0,1,0,0,0,1,0,0
45363,269,2,10,4.48,212,0,0,1,0,0,1,0,0
45364,60,150,2,2.0,0,0,1,0,0,0,0,1,0
45365,249,1,16,6.23,83,0,0,1,0,0,1,0,0
45366,498,2,4,2.73,242,0,0,1,0,0,1,0,0
45367,300,1,3,1.27,180,0,0,0,1,0,1,0,0
45368,200,7,0,0.0,0,0,1,0,0,0,0,1,0
45369,109,1,2,1.18,253,0,0,1,0,0,0,1,0
45370,99,2,3,1.45,68,0,1,0,0,0,1,0,0
45371,195,1,8,4.36,171,0,0,1,0,0,1,0,0
45372,199,2,2,0.78,263,0,0,0,1,0,1,0,0
45373,190,1,5,2.59,2,0,0,1,0,0,1,0,0
45374,139,1,2,2.0,315,0,1,0,0,0,1,0,0
45375,70,3,8,3.2,166,0,0,0,0,1,1,0,0
45376,299,14,6,2.5,27,0,0,1,0,0,0,1,0
45377,150,2,2,2.0,204,0,0,1,0,0,1,0,0
45378,225,3,2,1.67,337,0,0,1,0,0,1,0,0
45379,85,2,1,0.54,44,0,1,0,0,0,0,1,0
45380,47,2,7,3.62,349,0,1,0,0,0,0,1,0
45381,99,6,1,0.94,62,0,0,1,0,0,0,1,0
45382,130,5,0,0.0,73,0,0,1,0,0,1,0,0
45383,65,1,2,1.07,90,0,0,0,1,0,0,1,0
45384,170,2,10,4.17,12,0,1,0,0,0,1,0,0
45385,175,2,1,0.88,0,0,1,0,0,0,1,0,0
45386,300,3,0,0.0,246,0,0,1,0,0,1,0,0
45387,35,15,1,0.41,3,0,0,1,0,0,0,1,0
45388,160,1,0,0.0,185,0,0,1,0,0,1,0,0
45389,100,3,3,1.64,46,0,0,1,0,0,1,0,0
45390,250,1,7,3.23,13,0,1,0,0,0,1,0,0
45391,95,2,2,0.87,180,0,1,0,0,0,0,1,0
45392,37,14,1,0.65,365,0,0,0,1,0,0,1,0
45393,100,2,5,2.17,0,0,0,1,0,0,0,1,0
45394,89,2,2,1.71,43,0,1,0,0,0,1,0,0
45395,75,1,1,1.0,18,0,1,0,0,0,0,1,0
45396,80,2,3,1.55,0,0,0,1,0,0,0,1,0
45397,195,3,4,1.94,157,0,0,1,0,0,1,0,0
45398,100,1,11,4.29,0,0,0,1,0,0,1,0,0
45399,150,7,0,0.0,365,0,0,1,0,0,1,0,0
45400,41,2,11,4.46,26,0,1,0,0,0,0,1,0
45401,150,2,2,0.85,359,0,0,0,1,0,1,0,0
