,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
845,279093,200,14,2,0.07,363,1,0,0,1,0,0
852,281851,99,1,77,1.93,353,0,1,0,1,0,0
868,286838,75,2,101,1.17,0,0,1,0,1,0,0
893,293004,110,1,0,0.0,0,1,0,0,1,0,0
898,294250,150,1,85,1.01,0,1,0,0,0,0,1
908,295998,300,3,35,0.49,117,1,0,0,0,0,1
924,301034,140,2,36,0.43,32,0,1,0,1,0,0
927,302238,350,30,6,0.07,268,1,0,0,1,0,0
928,302280,250,30,6,0.07,205,1,0,0,1,0,0
929,302309,350,30,2,0.03,325,1,0,0,1,0,0
932,303264,350,30,7,0.09,339,1,0,0,1,0,0
934,303462,145,1,0,0.0,123,1,0,0,0,0,1
937,304799,150,7,10,0.12,0,1,0,0,0,0,1
939,305245,350,30,9,0.11,273,1,0,0,1,0,0
942,309342,99,3,14,0.24,364,0,1,0,0,0,1
944,310325,75,1,32,0.4,365,0,1,0,1,0,0
945,310338,75,1,30,0.37,365,0,1,0,1,0,0
947,310796,109,30,17,0.21,301,1,0,0,0,0,1
958,318021,110,3,43,0.56,247,0,1,0,1,0,0
963,320865,135,30,24,0.29,217,1,0,0,1,0,0
968,321902,126,4,0,0.0,0,1,0,0,1,0,0
972,323706,499,7,64,0.76,38,1,0,0,0,0,1
980,328693,179,3,263,3.17,207,1,0,0,0,0,1
989,334781,80,1,9,0.14,364,0,1,0,1,0,0
993,336220,125,3,187,2.25,278,0,1,0,1,0,0
994,339456,387,1,23,0.73,15,1,0,0,0,0,1
997,341982,99,2,36,0.49,0,1,0,0,0,0,1
999,342264,145,5,88,1.06,219,1,0,0,0,0,1
1001,342995,75,2,67,0.81,157,0,1,0,1,0,0
1003,343971,89,1,56,0.69,365,0,1,0,1,0,0
1025,363320,125,2,6,0.09,88,0,1,0,1,0,0
1026,363673,3000,7,0,0.0,365,0,1,0,0,0,1
1038,377217,145,3,22,0.26,0,1,0,0,0,0,1
1042,382523,150,2,10,0.13,365,0,1,0,1,0,0
1043,382524,180,2,13,0.16,365,0,1,0,1,0,0
1050,387377,195,2,67,0.82,88,1,0,0,1,0,0
1060,393479,190,4,18,0.22,151,1,0,0,0,0,1
1065,396636,135,5,35,0.43,327,1,0,0,1,0,0
1066,397034,125,1,25,0.3,365,0,1,0,0,0,1
1068,397420,85,3,6,0.08,364,0,1,0,1,0,0
1078,402037,125,1,0,0.0,365,0,1,0,1,0,0
1111,420001,147,30,47,0.59,31,1,0,0,0,0,1
1126,430665,250,1,8,0.1,0,1,0,0,0,0,1
1131,433848,180,3,1,0.11,0,1,0,0,1,0,0
1137,436916,55,2,7,0.09,0,0,1,0,1,0,0
1143,442118,200,1,5,0.06,338,0,1,0,1,0,0
1146,443646,395,7,38,0.47,99,1,0,0,0,0,1
1149,446367,90,4,18,0.24,282,1,0,0,0,0,1
1155,449130,85,1,60,0.73,60,0,1,0,1,0,0
1159,450577,250,3,68,0.83,326,1,0,0,0,0,1
1168,454334,65,1,3,0.04,0,0,1,0,1,0,0
1172,455801,65,4,109,1.33,0,0,1,0,1,0,0
1175,456336,175,14,61,0.75,29,0,1,0,1,0,0
1179,456526,75,3,26,1.7,72,0,1,0,1,0,0
1187,460999,150,30,7,0.11,0,1,0,0,1,0,0
1204,471712,70,28,65,0.81,65,0,1,0,0,1,0
1208,472052,180,5,13,0.16,0,1,0,0,0,0,1
1220,476983,85,1,412,5.12,300,0,1,0,1,0,0
1253,491942,199,3,24,0.32,0,1,0,0,0,0,1
1269,501082,79,30,183,2.26,361,0,1,0,1,0,0
1271,501693,99,1,255,3.42,238,0,1,0,0,0,1
1282,504394,150,4,2,0.03,93,1,0,0,0,0,1
1292,506629,90,2,62,0.79,209,0,1,0,1,0,0
1295,510218,185,2,147,1.82,319,1,0,0,0,0,1
1320,518960,90,4,249,3.16,134,1,0,0,1,0,0
1323,521038,115,7,8,0.1,178,0,1,0,1,0,0
1337,526532,100,2,24,0.31,0,1,0,0,1,0,0
1342,530247,250,4,2,0.04,0,1,0,0,0,0,1
1343,530431,190,30,192,2.56,365,1,0,0,1,0,0
1344,530576,93,14,78,0.97,136,0,1,0,0,0,1
1358,535352,102,3,34,0.51,0,1,0,0,0,0,1
1366,540057,185,1,78,0.97,149,1,0,0,1,0,0
1387,550777,210,3,22,0.28,358,1,0,0,0,0,1
1391,552639,220,3,22,0.37,168,1,0,0,1,0,0
1397,556903,227,4,5,0.1,277,1,0,0,0,0,1
1398,557213,88,1,160,2.3,27,0,1,0,1,0,0
1407,564049,90,30,23,0.29,0,1,0,0,0,0,1
1410,564751,76,2,147,1.89,291,0,0,1,0,0,1
1414,566943,200,2,31,0.7,365,0,1,0,1,0,0
1424,573612,78,1,122,1.54,320,0,1,0,1,0,0
1428,573870,120,30,16,0.2,338,1,0,0,0,0,1
1430,576227,529,31,4,0.05,0,1,0,0,1,0,0
1432,576916,165,4,4,0.05,0,1,0,0,0,0,1
1453,586840,59,1,19,0.24,315,0,1,0,1,0,0
1461,590903,79,3,43,0.61,365,0,1,0,1,0,0
1481,599595,149,30,12,0.27,0,1,0,0,0,0,1
1491,602533,56,2,181,2.56,31,0,1,0,1,0,0
1494,604401,41,31,6,0.08,280,0,1,0,0,0,1
1504,612936,125,3,84,1.13,137,0,1,0,0,0,1
1505,613528,80,2,39,0.57,103,1,0,0,1,0,0
1519,624222,136,4,13,0.16,9,1,0,0,1,0,0
1523,628078,105,14,6,0.08,0,1,0,0,1,0,0
1535,634353,1000,30,44,0.56,365,1,0,0,0,0,1
1546,638898,60,2,19,0.24,0,0,1,0,0,0,1
1556,643591,150,5,8,0.13,13,1,0,0,0,0,1
1561,644833,410,5,103,1.47,271,1,0,0,1,0,0
1586,652691,95,30,1,0.01,365,1,0,0,0,0,1
1587,654005,349,3,56,0.72,353,1,0,0,0,0,1
1598,657727,197,1,94,1.21,230,1,0,0,0,0,1
1607,660036,113,1,88,1.13,0,0,1,0,0,0,1
1610,664047,2000,30,59,0.76,365,1,0,0,0,0,1
1640,680998,125,21,12,0.16,99,1,0,0,1,0,0
1641,681518,95,2,197,2.53,63,0,1,0,0,0,1
1652,683821,55,3,51,0.66,59,0,1,0,1,0,0
1659,689900,119,1,96,1.24,0,0,1,0,0,0,1
1672,693597,160,30,24,0.33,119,1,0,0,0,0,1
1679,697499,170,4,87,1.17,13,1,0,0,0,0,1
1692,700408,132,7,2,0.03,0,1,0,0,0,0,1
1698,702551,900,1,7,0.09,236,1,0,0,0,0,1
1706,707736,299,3,5,0.08,364,1,0,0,1,0,0
1708,708374,100,2,301,3.9,122,0,1,0,0,0,1
1730,719621,135,1,52,0.71,336,0,1,0,1,0,0
1731,719914,79,3,19,0.33,365,0,1,0,1,0,0
1733,720394,120,1,5,0.07,0,0,1,0,0,0,1
1735,721719,150,5,17,0.28,245,1,0,0,1,0,0
1737,722451,350,1,1,0.02,0,1,0,0,1,0,0
1739,723507,225,3,17,0.5,0,1,0,0,0,0,1
1742,723709,95,10,5,0.07,89,0,1,0,1,0,0
1753,728493,70,7,67,0.94,0,0,1,0,1,0,0
1754,728498,80,1,128,1.69,365,0,1,0,1,0,0
1765,732624,65,1,300,3.93,244,0,1,0,1,0,0
1768,734749,155,181,82,1.15,32,1,0,0,0,0,1
1775,739239,171,30,4,0.07,351,1,0,0,0,0,1
1776,739242,185,30,8,0.11,351,1,0,0,0,0,1
1789,742779,125,8,7,0.09,273,1,0,0,0,1,0
1793,744228,150,1,2,0.03,0,1,0,0,1,0,0
1796,746983,80,3,0,0.0,363,0,1,0,1,0,0
1800,747316,75,2,43,0.74,68,0,1,0,0,0,1
1808,749455,99,1,312,4.09,66,0,1,0,0,0,1
1824,753983,80,4,64,0.84,48,0,1,0,0,0,1
