,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
10376,7262068,80,1,0,0.0,0,0,1,0,0,0,1
10381,7264496,140,4,2,0.05,0,1,0,0,0,1,0
10382,7264659,180,4,12,0.28,0,1,0,0,0,0,1
10405,7279583,450,2,48,1.17,31,1,0,0,1,0,0
10409,7280861,92,1,74,1.73,32,0,1,0,0,0,1
10412,7292825,120,10,0,0.0,0,1,0,0,0,0,1
10414,7293506,200,7,0,0.0,0,1,0,0,0,0,1
10421,7305718,150,3,0,0.0,0,1,0,0,1,0,0
10427,7308735,55,3,8,0.26,0,0,1,0,1,0,0
10451,7324832,129,3,5,0.12,0,0,1,0,0,0,1
10464,7330488,100,2,33,0.76,365,0,1,0,0,0,1
10471,7332196,95,1,10,0.23,0,0,1,0,1,0,0
10474,7339802,100,3,14,0.33,0,1,0,0,1,0,0
10482,7343048,159,1,2,0.05,28,1,0,0,0,0,1
10487,7346434,64,4,1,0.02,0,0,1,0,0,0,1
10489,7347733,120,1,1,0.03,0,1,0,0,1,0,0
10497,7349421,78,1,2,0.05,211,1,0,0,1,0,0
10517,7367165,35,5,2,0.05,0,0,1,0,1,0,0
10524,7376952,120,7,8,1.89,57,0,1,0,0,0,1
10530,7381816,95,1,212,4.98,169,0,1,0,0,0,1
10533,7382564,95,1,172,4.04,169,0,1,0,0,0,1
10539,7385568,40,1,2,0.05,0,0,1,0,1,0,0
10558,7398507,185,1,1,0.02,0,1,0,0,0,0,1
10559,7399036,120,30,2,0.1,195,1,0,0,0,0,1
10570,7403108,60,1,0,0.0,0,1,0,0,0,1,0
10579,7412452,50,1,10,0.24,0,0,0,1,0,1,0
10583,7417444,140,2,2,0.05,0,1,0,0,0,0,1
10589,7419334,150,1,1,0.02,0,1,0,0,0,0,1
10607,7435904,399,3,0,0.0,0,1,0,0,0,0,1
10609,7437454,80,3,6,0.14,365,0,1,0,1,0,0
10612,7438254,88,4,16,0.5,0,0,1,0,1,0,0
10619,7452390,65,4,41,1.26,164,0,1,0,0,0,1
10639,7461502,100,1,0,0.0,365,0,1,0,1,0,0
10662,7480229,62,2,20,0.48,178,0,1,0,1,0,0
10685,7496824,125,3,2,0.05,0,1,0,0,0,0,1
10704,7501794,109,2,1,0.02,0,1,0,0,1,0,0
10709,7509362,87,3,9,0.22,0,0,1,0,0,0,1
10710,7510415,185,2,12,0.91,0,1,0,0,1,0,0
10727,7519160,133,2,158,3.79,245,0,1,0,0,0,1
10730,7524934,60,2,1,0.02,0,0,1,0,1,0,0
10732,7526715,64,2,20,0.47,0,0,1,0,1,0,0
10742,7539610,200,1,0,0.0,0,0,1,0,1,0,0
10746,7542840,75,1,12,0.31,0,0,1,0,0,0,1
10747,7543993,400,2,1,0.02,0,1,0,0,1,0,0
10748,7545060,125,2,7,0.17,0,1,0,0,0,0,1
10752,7545751,100,1,0,0.0,0,0,1,0,1,0,0
10759,7555283,200,5,12,0.29,0,1,0,0,0,0,1
10760,7555693,75,1,135,3.19,27,0,1,0,1,0,0
10769,7560291,99,5,16,0.38,0,1,0,0,0,0,1
10778,7561847,175,2,7,0.17,3,1,0,0,1,0,0
10794,7573321,175,3,1,0.02,0,1,0,0,0,0,1
10796,7574515,65,1,0,0.0,0,0,1,0,0,1,0
10800,7576910,85,30,27,0.69,43,0,1,0,1,0,0
10802,7579573,155,3,1,0.02,0,1,0,0,0,0,1
10805,7581690,125,3,1,0.04,0,1,0,0,1,0,0
10810,7584885,85,1,0,0.0,0,0,0,1,0,0,1
10832,7602426,250,2,18,0.42,365,1,0,0,0,0,1
10838,7610785,275,7,85,2.09,360,1,0,0,1,0,0
10841,7612100,167,30,44,1.03,32,0,1,0,0,0,1
10842,7612456,103,5,36,1.57,169,0,1,0,0,0,1
10851,7619996,50,1,2,0.05,0,0,1,0,1,0,0
10855,7621629,40,9,0,0.0,0,0,1,0,0,0,1
10861,7630422,230,1,138,3.26,351,1,0,0,0,0,1
10867,7632731,1000,4,2,0.07,0,1,0,0,0,0,1
10872,7635764,99,1,290,6.8,91,0,1,0,0,0,1
10876,7637101,150,1,0,0.0,0,0,1,0,0,1,0
10885,7643901,90,3,6,0.14,0,0,1,0,0,0,1
10904,7652929,150,1,2,0.05,0,0,1,0,0,0,1
10916,7662874,79,3,21,0.53,3,1,0,0,1,0,0
10922,7664263,130,5,12,0.28,0,1,0,0,1,0,0
10951,7685764,300,5,0,0.0,0,1,0,0,0,0,1
10962,7692701,75,14,0,0.0,0,0,1,0,1,0,0
10965,7693124,60,3,4,0.09,0,0,1,0,0,0,1
10968,7694418,150,3,10,0.24,0,1,0,0,0,0,1
10973,7696654,100,4,0,0.0,0,1,0,0,1,0,0
10976,7697256,130,1,9,0.22,0,0,1,0,0,0,1
10980,7698642,89,1,64,1.53,89,0,1,0,1,0,0
10988,7700185,77,1,1,0.02,0,1,0,0,1,0,0
10989,7700741,69,2,1,0.02,0,0,1,0,1,0,0
10993,7709293,59,1,0,0.0,0,0,1,0,1,0,0
11011,7717071,125,1,13,0.35,253,1,0,0,1,0,0
11016,7718995,182,1,207,4.89,307,0,1,0,0,0,1
11022,7725042,50,1,0,0.0,0,0,1,0,0,0,1
11025,7725573,75,1,1,0.03,0,0,1,0,1,0,0
11041,7731348,175,1,5,0.12,0,1,0,0,0,0,1
11052,7740527,60,1,1,0.02,0,0,1,0,1,0,0
11059,7744805,153,2,91,2.19,0,1,0,0,1,0,0
11064,7746303,150,1,2,0.09,0,1,0,0,1,0,0
11066,7747237,90,2,1,0.02,0,0,1,0,1,0,0
11075,7749818,93,1,89,2.85,42,0,1,0,1,0,0
11092,7762374,450,3,28,0.69,282,1,0,0,1,0,0
11096,7768661,238,30,13,0.32,153,1,0,0,0,0,1
11103,7771777,90,1,1,0.02,0,0,1,0,0,1,0
11123,7782340,175,2,13,0.32,0,1,0,0,0,0,1
11140,7789678,30,1,0,0.0,0,0,1,0,0,1,0
11151,7798930,200,1,0,0.0,0,1,0,0,0,0,1
11153,7799045,173,30,10,0.27,219,1,0,0,1,0,0
11161,7801262,104,2,37,0.88,256,1,0,0,1,0,0
11166,7803475,374,30,16,0.39,363,1,0,0,0,0,1
11172,7807146,70,3,4,0.13,0,0,1,0,0,0,1
11185,7818142,85,7,0,0.0,0,0,1,0,0,1,0
11195,7820825,70,1,0,0.0,0,0,1,0,1,0,0
11198,7823121,80,1,4,0.09,0,0,1,0,0,1,0
11203,7824945,75,1,177,4.19,217,0,1,0,0,0,1
11216,7837347,180,2,0,0.0,0,1,0,0,0,1,0
11222,7838854,150,2,0,0.0,0,1,0,0,0,0,1
11230,7842597,90,30,14,0.34,33,0,1,0,0,0,1
11232,7843122,149,2,3,0.07,0,1,0,0,0,0,1
11235,7843604,100,2,167,4.06,140,1,0,0,1,0,0
11245,7853584,80,2,1,0.03,0,1,0,0,1,0,0
11264,7861113,195,1,0,0.0,0,1,0,0,0,0,1
11267,7864877,240,3,2,0.05,0,1,0,0,1,0,0
11270,7867890,140,4,11,0.26,12,1,0,0,0,0,1
11275,7870442,96,1,2,0.05,0,1,0,0,0,0,1
11276,7871441,85,7,6,0.15,0,1,0,0,1,0,0
11280,7872172,65,1,2,0.05,0,0,1,0,0,0,1
11282,7873524,130,3,1,0.02,0,1,0,0,1,0,0
11297,7886894,175,2,2,0.15,0,1,0,0,1,0,0
11307,7895997,175,2,6,1.36,124,1,0,0,1,0,0
11308,7897229,180,1,8,0.19,0,0,1,0,0,0,1
11309,7898302,150,1,1,0.02,0,1,0,0,0,0,1
11310,7899605,58,1,5,0.12,0,0,1,0,1,0,0
11321,7901715,60,1,2,0.05,0,0,1,0,1,0,0
11335,7913704,42,2,3,0.09,0,0,1,0,1,0,0
11356,7920963,60,14,84,2.03,0,0,1,0,1,0,0
11363,7931059,75,1,0,0.0,0,0,1,0,1,0,0
11371,7935508,60,30,3,0.08,307,0,1,0,1,0,0
11393,7955889,73,1,5,0.17,365,0,1,0,1,0,0
11394,7955984,73,1,24,0.59,365,0,1,0,1,0,0
11427,7975360,180,5,85,2.11,89,1,0,0,1,0,0
11451,7995078,65,2,73,1.75,347,0,1,0,1,0,0
11455,7999409,65,2,7,0.17,0,0,0,1,0,0,1
11463,8001720,200,2,9,0.22,365,0,1,0,1,0,0
11474,8012334,250,1,3,0.08,0,1,0,0,0,0,1
11477,8013498,77,15,2,0.05,0,1,0,0,1,0,0
11490,8021914,152,1,39,0.94,1,0,1,0,0,0,1
11499,8031823,99,2,48,1.16,365,0,1,0,0,0,1
11506,8034665,250,1,22,0.53,365,0,1,0,1,0,0
11508,8035074,130,3,4,0.1,0,1,0,0,0,0,1
11510,8040050,163,1,30,0.72,32,0,1,0,0,0,1
11517,8051139,115,30,1,0.02,365,0,1,0,1,0,0
11524,8054277,295,3,32,0.79,0,1,0,0,1,0,0
11541,8065705,60,1,0,0.0,0,0,1,0,0,0,1
11549,8069684,200,1,29,0.7,89,0,1,0,0,0,1
11561,8082651,39,4,14,0.34,0,0,1,0,1,0,0
11572,8100914,168,1,2,0.05,0,1,0,0,0,0,1
11577,8102145,115,1,1,0.05,0,0,1,0,0,0,1
11578,8103342,637,4,103,2.49,314,1,0,0,0,0,1
11583,8106774,165,7,79,1.9,163,1,0,0,1,0,0
11605,8126631,45,2,0,0.0,0,0,1,0,1,0,0
11609,8130551,88,1,0,0.0,0,0,1,0,0,0,1
11621,8144049,62,3,5,0.13,0,0,1,0,1,0,0
11627,8146518,190,2,24,0.65,59,1,0,0,0,0,1
11645,8162607,185,3,174,4.23,21,1,0,0,0,0,1
11653,8167182,150,2,12,0.29,365,1,0,0,1,0,0
11668,8173609,200,2,92,2.26,192,1,0,0,1,0,0
11686,8192079,75,4,0,0.0,0,0,1,0,1,0,0
11689,8192768,120,2,11,0.28,124,0,1,0,1,0,0
11690,8192789,150,2,6,0.24,356,1,0,0,1,0,0
11695,8195335,65,6,1,0.04,0,0,1,0,1,0,0
11698,8202455,125,2,1,0.02,0,1,0,0,0,0,1
11699,8204305,92,2,17,0.42,89,0,1,0,0,0,1
11714,8211167,95,1,0,0.0,92,0,1,0,1,0,0
11718,8211709,105,1,1,0.53,365,0,1,0,1,0,0
11721,8213227,42,1,29,0.7,38,0,1,0,1,0,0
11736,8226137,225,2,0,0.0,0,1,0,0,0,0,1
11750,8238934,100,2,18,0.44,0,0,1,0,1,0,0
11764,8252199,400,2,0,0.0,45,1,0,0,0,0,1
11767,8254405,42,1,138,3.34,297,0,1,0,1,0,0
11785,8268465,70,2,57,1.71,236,0,1,0,1,0,0
11796,8274440,180,3,15,0.37,363,0,1,0,1,0,0
11797,8274516,100,1,73,1.78,283,0,1,0,0,0,1
11799,8274711,125,3,8,0.2,126,1,0,0,1,0,0
11810,8283646,80,5,1,0.02,0,0,1,0,0,0,1
11811,8283693,186,7,0,0.0,0,1,0,0,0,1,0
11827,8301159,57,2,17,0.42,365,0,1,0,1,0,0
11831,8303337,99,6,19,0.57,148,1,0,0,0,1,0
11855,8321524,103,7,8,0.2,25,1,0,0,1,0,0
11862,8326389,85,3,30,0.74,83,0,1,0,1,0,0
11871,8337340,95,1,206,5.0,171,0,1,0,0,0,1
11877,8341556,55,1,77,1.88,51,0,1,0,1,0,0
11878,8341669,215,5,1,0.02,0,1,0,0,0,0,1
11882,8342200,125,5,0,0.0,0,1,0,0,0,0,1
11883,8342917,99,1,0,0.0,0,1,0,0,1,0,0
11893,8355794,60,5,2,0.05,0,0,1,0,0,0,1
11894,8356955,87,2,11,0.28,0,1,0,0,1,0,0
11895,8358047,80,1,0,0.0,0,0,1,0,1,0,0
11904,8367486,99,2,150,3.64,33,0,1,0,0,0,1
11914,8371626,55,3,2,0.05,0,0,1,0,0,0,1
11917,8373265,150,5,11,1.35,0,1,0,0,1,0,0
11920,8381953,124,3,89,2.69,292,1,0,0,1,0,0
11923,8385108,100,3,6,0.15,365,0,1,0,1,0,0
11939,8398566,90,2,2,0.05,0,0,1,0,0,0,1
11943,8401620,130,2,3,0.07,0,0,1,0,0,0,1
11963,8411226,50,2,0,0.0,0,0,1,0,1,0,0
11964,8411390,100,1,9,0.22,0,0,1,0,0,0,1
11986,8427638,190,3,44,1.1,199,1,0,0,0,0,1
11988,8427772,99,4,2,0.05,0,0,1,0,1,0,0
11995,8435582,100,5,4,0.11,62,0,1,0,1,0,0
11997,8438775,137,1,142,3.49,80,0,1,0,0,0,1
12015,8450523,374,1,31,0.78,32,1,0,0,0,0,1
12028,8468180,275,2,1,0.03,0,1,0,0,0,0,1
12029,8468662,150,4,1,0.03,0,1,0,0,0,0,1
12031,8470281,60,1,1,0.91,364,0,1,0,1,0,0
12042,8474260,40,4,2,0.05,0,0,1,0,0,1,0
12043,8474806,68,2,9,0.34,0,1,0,0,1,0,0
12045,8479799,135,3,65,2.11,27,0,1,0,0,0,1
12046,8480087,165,5,18,0.44,30,1,0,0,0,0,1
12062,8498999,180,1,0,0.0,0,1,0,0,1,0,0
12071,8504231,109,1,7,0.17,0,0,1,0,0,0,1
12079,8506867,220,1,2,0.05,0,1,0,0,0,0,1
12084,8512976,400,2,2,0.05,88,1,0,0,0,0,1
12103,8523742,99,3,13,0.32,0,1,0,0,1,0,0
12112,8532876,80,1,0,0.0,0,0,1,0,0,0,1
12138,8550041,141,6,2,0.05,0,1,0,0,0,0,1
12153,8566656,131,1,0,0.0,0,1,0,0,1,0,0
12154,8568094,100,1,26,2.87,365,0,1,0,1,0,0
12165,8583175,45,3,27,0.66,0,0,1,0,1,0,0
12168,8588390,120,3,0,0.0,0,0,1,0,1,0,0
12188,8598599,225,1,5,0.12,173,1,0,0,1,0,0
12196,8610093,80,14,3,0.08,0,1,0,0,0,1,0
12197,8611817,60,5,69,2.42,35,0,1,0,1,0,0
12199,8614125,275,1,0,0.0,0,1,0,0,0,0,1
12230,8630560,220,5,7,0.18,0,1,0,0,0,0,1
12236,8634515,130,31,28,0.71,107,1,0,0,1,0,0
12240,8636811,80,3,1,0.03,0,0,1,0,1,0,0
12257,8652729,49,5,24,0.59,133,0,1,0,1,0,0
12260,8653999,180,1,2,0.05,0,1,0,0,0,0,1
12276,8668392,130,3,42,1.04,75,1,0,0,1,0,0
12307,8689608,100,30,145,3.61,42,0,1,0,1,0,0
12321,8709068,450,28,0,0.0,365,1,0,0,0,0,1
12325,8712745,107,2,0,0.0,0,0,1,0,0,0,1
12343,8729771,130,1,243,6.14,263,1,0,0,1,0,0
12348,8732919,110,1,2,0.09,58,0,1,0,0,0,1
12350,8733480,60,2,11,0.28,364,0,1,0,0,1,0
12352,8734174,250,30,125,3.13,204,1,0,0,1,0,0
12361,8738438,650,2,1,0.04,0,1,0,0,1,0,0
12368,8741489,86,2,21,0.52,73,1,0,0,1,0,0
12369,8741676,280,1,1,0.02,0,1,0,0,0,0,1
12371,8743269,95,2,1,0.02,0,1,0,0,1,0,0
12379,8753832,100,1,55,1.36,179,0,1,0,1,0,0
12381,8754560,65,3,123,3.05,242,0,1,0,1,0,0
12385,8757920,110,2,4,0.13,0,1,0,0,1,0,0
12412,8783567,190,5,14,0.37,6,1,0,0,0,0,1
12427,8800003,95,2,3,0.13,238,1,0,0,1,0,0
12432,8806104,150,6,45,1.13,38,1,0,0,1,0,0
12448,8814070,150,2,1,0.03,0,1,0,0,0,0,1
12468,8838341,175,3,0,0.0,0,1,0,0,0,0,1
12470,8838861,225,3,2,0.05,0,1,0,0,0,0,1
12488,8845289,290,3,58,1.51,32,1,0,0,1,0,0
12491,8845951,50,1,68,1.81,83,0,1,0,1,0,0
12508,8861269,170,4,25,0.86,365,1,0,0,1,0,0
12551,8888689,170,1,7,0.19,0,1,0,0,0,1,0
12553,8889423,150,2,11,0.28,0,1,0,0,0,0,1
12564,8901901,95,2,5,0.13,0,1,0,0,1,0,0
12572,8906260,65,2,29,0.75,14,1,0,0,1,0,0
12578,8914109,60,30,20,0.53,17,0,1,0,1,0,0
12581,8916387,138,3,32,0.85,11,1,0,0,0,0,1
12586,8920816,40,3,6,0.15,0,0,1,0,0,1,0
12588,8921125,434,5,1,0.08,0,1,0,0,0,0,1
12603,8931373,75,3,0,0.0,0,0,1,0,1,0,0
12626,8951480,102,7,2,0.05,0,1,0,0,0,0,1
12638,8957187,73,2,80,2.05,208,0,1,0,1,0,0
12655,8973682,98,2,1,0.03,0,0,1,0,0,0,1
12658,8974316,55,10,16,0.53,250,0,1,0,1,0,0
12674,8989320,175,3,167,4.18,184,1,0,0,1,0,0
12677,8990063,190,1,0,0.0,0,1,0,0,0,0,1
12681,8992666,169,5,0,0.0,0,1,0,0,1,0,0
12683,8992894,899,6,44,1.11,282,1,0,0,1,0,0
12698,9005771,45,14,1,0.03,0,0,1,0,1,0,0
12711,9015649,125,1,8,1.9,44,0,1,0,0,1,0
12714,9022118,80,1,1,0.03,0,0,1,0,0,0,1
12729,9026474,125,1,0,0.0,0,1,0,0,0,0,1
12736,9028527,165,1,0,0.0,0,1,0,0,1,0,0
12741,9029289,95,3,60,1.55,21,1,0,0,0,0,1
12748,9036422,125,7,4,0.11,0,1,0,0,0,0,1
12758,9045876,175,7,39,0.99,269,1,0,0,1,0,0
12767,9049505,74,1,0,0.0,0,0,1,0,1,0,0
12773,9050597,79,1,0,0.0,0,0,1,0,1,0,0
12784,9061331,180,3,14,0.37,0,1,0,0,1,0,0
12827,9093219,90,2,54,1.41,0,0,1,0,1,0,0
12831,9093866,165,30,7,0.27,318,1,0,0,1,0,0
12835,9096478,85,1,3,0.08,0,0,1,0,1,0,0
12839,9104108,110,3,1,0.03,0,1,0,0,1,0,0
12850,9107772,100,2,17,0.44,0,1,0,0,1,0,0
12852,9107846,75,1,104,2.79,198,1,0,0,0,0,1
12863,9112676,250,7,25,0.65,164,1,0,0,0,0,1
12866,9113702,150,1,0,0.0,0,1,0,0,1,0,0
12872,9116018,65,3,15,0.39,365,0,1,0,1,0,0
12873,9116126,199,28,16,0.73,70,1,0,0,0,0,1
12879,9117976,36,1,1,0.03,0,0,1,0,1,0,0
12883,9121896,50,2,56,1.46,168,0,1,0,1,0,0
12899,9133278,41,1,112,2.84,37,0,1,0,1,0,0
12909,9138812,80,1,33,1.3,179,0,1,0,1,0,0
12912,9145070,180,1,43,1.11,0,1,0,0,0,0,1
12937,9157504,120,1,0,0.0,0,0,1,0,0,1,0
12941,9167889,130,2,178,4.54,260,1,0,0,1,0,0
12944,9170129,249,5,92,2.34,265,1,0,0,1,0,0
12955,9178165,80,1,173,4.42,175,0,1,0,1,0,0
12956,9180821,70,3,2,0.05,0,0,1,0,0,0,1
12961,9184688,250,7,0,0.0,0,1,0,0,0,0,1
12962,9184945,56,1,5,0.13,0,0,1,0,1,0,0
12963,9184982,47,7,2,0.05,0,0,1,0,1,0,0
12965,9185689,85,1,0,0.0,0,1,0,0,1,0,0
12968,9186042,60,3,60,2.19,13,0,1,0,1,0,0
12974,9193390,300,1,0,0.0,0,0,1,0,0,0,1
12978,9196408,65,5,2,0.05,63,0,1,0,1,0,0
12983,9201458,75,5,1,0.03,0,0,1,0,0,0,1
13001,9217460,90,3,1,0.03,0,1,0,0,1,0,0
13010,9227929,201,1,126,4.05,155,1,0,0,1,0,0
13015,9230738,185,4,12,0.38,9,1,0,0,0,0,1
13036,9238861,120,2,2,0.05,0,1,0,0,0,1,0
13049,9249597,150,6,1,0.03,0,1,0,0,0,0,1
13050,9249776,150,1,0,0.0,0,1,0,0,0,0,1
13058,9253823,175,5,10,0.26,49,1,0,0,0,0,1
13073,9263457,800,5,0,0.0,0,0,1,0,0,0,1
13101,9289159,465,3,35,1.08,324,1,0,0,1,0,0
13106,9296089,200,6,0,0.0,0,1,0,0,0,0,1
13107,9296598,40,1,1,0.03,0,1,0,0,0,0,1
13122,9302921,90,2,66,1.71,0,0,1,0,1,0,0
13136,9315567,65,1,11,0.28,0,0,1,0,1,0,0
13149,9328578,230,3,47,1.38,330,1,0,0,1,0,0
13150,9328727,200,3,49,1.27,333,1,0,0,1,0,0
13173,9341144,100,30,3,0.22,68,1,0,0,1,0,0
13174,9341196,95,3,0,0.0,0,0,1,0,0,0,1
13175,9341671,150,5,0,0.0,0,1,0,0,1,0,0
13186,9347368,200,5,5,0.13,0,1,0,0,0,0,1
13190,9349010,79,30,5,0.15,63,1,0,0,0,0,1
13213,9362388,90,7,6,0.16,114,1,0,0,1,0,0
13217,9364184,170,3,11,0.37,0,1,0,0,0,0,1
13230,9368365,250,5,0,0.0,0,1,0,0,0,0,1
13270,9391541,156,30,1,0.19,365,1,0,0,0,0,1
13271,9391609,191,30,0,0.0,365,1,0,0,0,0,1
13283,9393343,100,3,2,0.05,0,1,0,0,1,0,0
13291,9396442,108,1,11,0.29,26,0,1,0,0,0,1
13292,9400570,121,30,0,0.0,0,1,0,0,1,0,0
13300,9403937,175,30,0,0.0,365,1,0,0,0,0,1
13301,9404068,175,30,6,0.17,307,1,0,0,0,0,1
13305,9405124,51,1,1,0.03,0,0,1,0,0,0,1
13306,9405466,150,1,1,0.03,0,1,0,0,0,0,1
13319,9412276,110,1,0,0.0,0,1,0,0,0,0,1
13330,9414521,120,5,3,0.09,0,1,0,0,0,1,0
13337,9420768,70,1,17,0.45,0,0,1,0,1,0,0
13354,9429015,275,1,4,0.11,0,1,0,0,0,0,1
13360,9434464,130,4,83,2.21,50,1,0,0,1,0,0
13366,9435503,90,2,61,2.0,355,0,1,0,0,1,0
13374,9444324,110,5,0,0.0,0,1,0,0,0,0,1
13376,9444997,150,2,2,0.06,0,0,1,0,0,0,1
13377,9445180,75,1,1,0.03,0,0,1,0,1,0,0
13411,9460093,45,1,0,0.0,0,0,1,0,1,0,0
13416,9461660,90,1,0,0.0,0,0,1,0,1,0,0
13419,9461851,150,5,43,1.16,10,1,0,0,0,0,1
13422,9463261,62,20,0,0.0,0,0,1,0,0,1,0
13429,9464835,159,180,21,0.55,293,1,0,0,0,0,1
13452,9476774,295,30,2,0.07,351,1,0,0,0,0,1
13454,9476850,150,3,36,0.93,6,1,0,0,0,0,1
13455,9477096,40,1,1,0.03,0,0,1,0,1,0,0
13463,9479348,345,4,15,0.4,62,1,0,0,1,0,0
13468,9485606,500,3,70,1.86,365,1,0,0,1,0,0
13475,9487684,175,4,2,0.05,0,1,0,0,0,0,1
13480,9488878,299,4,99,2.58,328,1,0,0,0,0,1
13492,9492750,190,3,87,2.26,287,1,0,0,1,0,0
13506,9496398,125,3,0,0.0,0,1,0,0,1,0,0
13508,9502150,150,5,34,0.9,271,1,0,0,1,0,0
13521,9509124,250,30,0,0.0,309,1,0,0,0,0,1
13528,9510417,80,1,6,0.16,12,0,1,0,1,0,0
13531,9512372,50,7,9,0.24,357,0,1,0,1,0,0
13543,9514730,150,1,0,0.0,0,1,0,0,0,0,1
13561,9524033,60,1,6,0.16,0,0,1,0,1,0,0
13564,9525335,55,1,2,0.05,0,0,1,0,1,0,0
13577,9530079,290,5,0,0.0,0,1,0,0,0,1,0
13581,9531148,180,30,1,0.03,308,1,0,0,0,0,1
13586,9532665,129,1,0,0.0,0,1,0,0,0,0,1
13594,9540147,200,3,6,0.15,0,1,0,0,0,0,1
13625,9550171,228,2,14,0.49,0,1,0,0,0,0,1
13638,9560057,80,1,3,0.08,18,0,1,0,1,0,0
13652,9572219,44,1,9,0.24,63,0,1,0,1,0,0
13663,9575930,60,3,13,0.34,0,0,1,0,0,1,0
13667,9576478,245,3,61,1.62,17,1,0,0,1,0,0
13668,9576812,250,30,50,1.32,301,1,0,0,1,0,0
13671,9577748,68,14,1,0.03,0,0,1,0,0,1,0
13689,9588699,63,1,0,0.0,0,0,1,0,1,0,0
13697,9590866,39,1,0,0.0,0,0,1,0,1,0,0
13699,9592655,80,5,0,0.0,0,0,1,0,1,0,0
13701,9593093,75,1,0,0.0,0,0,1,0,1,0,0
13704,9594995,150,1,249,6.47,230,1,0,0,1,0,0
13711,9596608,85,7,16,0.62,0,1,0,0,0,0,1
13735,9609762,65,3,9,0.24,0,0,1,0,0,0,1
13738,9610982,55,2,4,0.1,0,0,1,0,0,1,0
13744,9613369,195,3,1,0.03,0,1,0,0,0,0,1
13745,9613465,109,1,101,2.62,365,0,1,0,0,0,1
13763,9616453,75,2,1,0.03,0,0,1,0,0,1,0
13769,9623722,225,3,34,0.96,301,1,0,0,1,0,0
13775,9627513,60,2,8,0.21,0,0,1,0,1,0,0
13781,9631464,288,30,0,0.0,338,1,0,0,0,0,1
13782,9631959,50,1,1,0.03,0,0,1,0,0,1,0
13789,9634829,84,2,3,0.08,0,0,1,0,1,0,0
13810,9652413,89,1,1,0.03,0,1,0,0,1,0,0
13816,9654190,400,1,2,0.05,0,1,0,0,0,0,1
13839,9677744,77,4,63,1.79,0,1,0,0,1,0,0
13851,9682862,100,3,1,0.03,0,0,1,0,1,0,0
13853,9683429,150,3,5,0.13,0,1,0,0,0,1,0
13857,9684188,65,28,1,0.14,250,0,1,0,1,0,0
13858,9684366,139,1,0,0.0,0,0,1,0,0,0,1
13865,9685213,55,1,0,0.0,0,0,1,0,0,1,0
13867,9686167,85,1,7,0.18,32,0,1,0,0,0,1
13869,9689477,155,4,6,0.16,0,1,0,0,0,0,1
13873,9692074,200,7,1,0.03,0,0,1,0,0,1,0
13876,9692740,50,1,2,0.05,0,0,1,0,0,0,1
13883,9695552,150,7,4,0.11,0,1,0,0,0,1,0
13885,9696307,100,2,1,0.03,0,1,0,0,0,0,1
13894,9699378,65,2,0,0.0,0,0,1,0,1,0,0
13918,9712796,135,4,0,0.0,0,1,0,0,0,0,1
13920,9713045,200,2,131,3.49,157,1,0,0,1,0,0
13928,9714250,229,1,9,0.23,277,0,1,0,0,0,1
13938,9717662,37,1,0,0.0,0,0,1,0,1,0,0
13955,9731134,120,7,28,0.79,332,1,0,0,1,0,0
13971,9736600,75,14,0,0.0,0,0,1,0,0,1,0
13980,9739888,45,1,0,0.0,0,0,1,0,1,0,0
13982,9740150,89,1,19,0.51,0,0,1,0,1,0,0
13983,9740264,75,2,19,0.5,0,1,0,0,1,0,0
13987,9745484,102,5,20,0.6,0,1,0,0,1,0,0
13991,9747059,120,1,0,0.0,0,0,1,0,0,0,1
14015,9756258,65,1,2,0.05,0,0,1,0,0,0,1
14016,9756612,70,1,0,0.0,0,0,1,0,0,1,0
14025,9758320,125,21,0,0.0,0,1,0,0,1,0,0
14038,9760401,188,3,0,0.0,0,1,0,0,0,0,1
14047,9766922,88,2,0,0.0,0,0,1,0,1,0,0
14051,9768199,129,3,5,0.13,0,1,0,0,0,0,1
14064,9772539,275,30,1,0.03,365,1,0,0,0,0,1
14070,9775237,140,5,7,0.19,0,1,0,0,1,0,0
14078,9777883,62,2,0,0.0,0,0,1,0,1,0,0
14079,9778049,144,2,26,0.81,0,1,0,0,0,0,1
14084,9778960,49,1,1,0.03,0,0,1,0,0,1,0
14085,9778978,50,3,1,0.03,0,1,0,0,1,0,0
14092,9786182,29,28,42,1.14,32,0,1,0,1,0,0
14095,9786769,124,1,0,0.0,0,0,1,0,0,0,1
14100,9788141,100,1,1,0.03,0,0,1,0,1,0,0
14105,9790098,200,1,0,0.0,0,0,1,0,1,0,0
14124,9794364,100,2,41,1.14,0,0,1,0,0,0,1
14151,9807059,66,1,0,0.0,0,0,1,0,0,1,0
14161,9810271,48,30,98,2.58,151,0,1,0,1,0,0
14167,9813364,60,3,0,0.0,0,0,1,0,1,0,0
14171,9818465,125,6,5,0.2,0,1,0,0,0,1,0
14173,9819164,60,1,0,0.0,0,0,0,1,1,0,0
14174,9819437,600,3,0,0.0,0,1,0,0,0,0,1
14183,9821370,80,1,28,0.84,365,0,1,0,1,0,0
14198,9824807,130,2,18,0.48,0,1,0,0,1,0,0
