,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
8955,6304803,300,2,1,0.03,0,0,1,0,0,0,1,0,0
8956,6304928,249,2,4,0.09,0,0,1,0,0,0,1,0,0
8957,6305027,175,30,1,0.02,0,0,1,0,0,0,1,0,0
8958,6305553,35,1,0,0.0,0,0,1,0,0,0,0,1,0
8959,6305875,34,30,0,0.0,365,0,1,0,0,0,0,1,0
8960,6309328,55,2,4,0.09,0,0,1,0,0,0,0,1,0
8961,6311716,135,3,2,0.04,0,0,1,0,0,0,1,0,0
8962,6311978,60,1,1,0.03,0,0,0,1,0,0,0,1,0
8963,6313624,75,30,1,0.52,365,0,0,1,0,0,0,1,0
8964,6314148,300,1,0,0.0,0,0,0,1,0,0,1,0,0
8965,6314380,200,3,2,0.05,45,0,0,1,0,0,0,1,0
8966,6314794,80,1,0,0.0,0,0,0,1,0,0,0,1,0
8967,6315050,65,3,0,0.0,0,0,1,0,0,0,0,1,0
8968,6315659,129,3,12,0.29,120,0,1,0,0,0,0,1,0
8969,6316005,280,3,143,3.16,332,0,1,0,0,0,1,0,0
8970,6316121,132,3,110,2.43,313,0,1,0,0,0,1,0,0
8971,6316666,70,1,1,0.02,0,0,1,0,0,0,0,1,0
8972,6316786,52,1,26,0.58,222,0,1,0,0,0,0,1,0
8973,6317058,50,1,10,0.23,0,0,1,0,0,0,0,0,1
8974,6321475,148,1,6,0.13,365,0,1,0,0,0,0,1,0
8975,6322937,115,5,6,0.14,0,0,0,0,1,0,1,0,0
8976,6323445,175,3,0,0.0,0,0,0,1,0,0,1,0,0
8977,6323975,130,1,0,0.0,0,0,0,1,0,0,0,0,1
8978,6324190,35,10,0,0.0,0,0,1,0,0,0,0,1,0
8979,6324345,90,1,139,3.12,187,0,0,1,0,0,1,0,0
8980,6325210,109,5,2,0.05,0,0,1,0,0,0,1,0,0
8981,6326345,60,3,9,0.2,0,0,1,0,0,0,0,1,0
8982,6326410,150,3,97,2.19,109,0,0,1,0,0,1,0,0
8983,6326568,207,1,1,0.02,0,0,0,1,0,0,1,0,0
8984,6326582,63,1,2,0.04,0,0,0,1,0,0,0,0,1
8985,6326681,158,3,10,0.23,330,0,0,1,0,0,1,0,0
8986,6326865,445,5,1,0.02,0,0,1,0,0,0,1,0,0
8987,6326959,125,7,6,0.14,0,0,0,1,0,0,1,0,0
8988,6327222,35,1,164,3.63,166,0,1,0,0,0,0,1,0
8989,6327529,200,5,3,0.07,0,0,0,1,0,0,1,0,0
8990,6327601,179,3,47,1.06,17,0,0,1,0,0,1,0,0
8991,6328046,141,7,4,0.2,0,0,0,1,0,0,1,0,0
8992,6328175,120,4,2,0.05,0,0,0,1,0,0,1,0,0
8993,6328394,145,2,125,2.89,276,0,0,1,0,0,1,0,0
8994,6329973,120,30,136,3.05,190,0,0,1,0,0,0,1,0
8995,6330321,51,3,115,2.56,72,0,0,0,0,1,1,0,0
8996,6331598,90,1,2,0.05,0,0,1,0,0,0,1,0,0
8997,6332130,95,2,71,1.66,61,0,1,0,0,0,1,0,0
8998,6333850,120,1,0,0.0,177,0,1,0,0,0,0,1,0
8999,6333994,295,2,89,2.1,306,0,0,1,0,0,1,0,0
9000,6334236,115,5,58,1.29,326,0,1,0,0,0,1,0,0
9001,6334292,150,2,63,1.4,0,0,1,0,0,0,1,0,0
9002,6334492,60,1,119,2.66,175,0,1,0,0,0,0,1,0
9003,6334808,170,5,0,0.0,0,0,0,1,0,0,0,1,0
9004,6335490,194,2,8,0.18,0,0,0,1,0,0,1,0,0
9005,6336738,125,3,79,1.86,0,0,1,0,0,0,1,0,0
9006,6336834,84,1,176,3.95,211,0,1,0,0,0,0,1,0
9007,6337001,30,1,164,3.62,179,0,1,0,0,0,0,1,0
9008,6337024,350,3,30,0.71,89,0,0,1,0,0,1,0,0
9009,6337725,140,2,2,0.05,0,0,0,1,0,0,1,0,0
9010,6338068,50,30,14,0.32,364,0,0,1,0,0,0,1,0
9011,6342741,89,3,9,0.2,0,0,0,1,0,0,0,1,0
9012,6342801,500,4,3,0.07,89,0,0,1,0,0,1,0,0
9013,6343619,55,1,5,0.12,0,0,1,0,0,0,0,1,0
9014,6343641,62,1,54,1.23,365,0,1,0,0,0,0,1,0
9015,6343837,100,1,0,0.0,0,0,1,0,0,0,1,0,0
9016,6344926,40,30,43,0.97,354,0,1,0,0,0,0,1,0
9017,6344936,350,3,1,0.02,0,0,1,0,0,0,1,0,0
9018,6345234,75,1,0,0.0,0,0,1,0,0,0,0,1,0
9019,6345728,190,3,7,0.16,0,0,0,1,0,0,1,0,0
9020,6346456,350,1,0,0.0,0,0,0,1,0,0,1,0,0
9021,6346496,300,1,1,0.03,0,0,0,1,0,0,1,0,0
9022,6346662,295,5,6,0.13,0,0,0,1,0,0,1,0,0
9023,6347548,113,1,2,0.05,0,0,0,1,0,0,0,1,0
9024,6347713,95,3,1,0.05,0,0,0,1,0,0,0,1,0
9025,6348972,69,6,38,0.84,365,0,0,1,0,0,0,1,0
9026,6349111,190,2,1,0.02,0,0,0,1,0,0,0,1,0
9027,6349524,110,4,0,0.0,0,0,0,1,0,0,0,1,0
9028,6355217,65,14,1,0.02,0,0,1,0,0,0,1,0,0
9029,6356070,185,1,59,1.34,353,0,1,0,0,0,1,0,0
9030,6356359,152,3,1,0.02,0,0,1,0,0,0,1,0,0
9031,6356366,249,3,3,0.07,0,0,0,1,0,0,1,0,0
9032,6357058,100,1,0,0.0,0,0,1,0,0,0,0,1,0
9033,6357128,95,4,20,0.59,13,0,0,1,0,0,0,1,0
9034,6357527,130,2,3,0.07,0,0,0,1,0,0,1,0,0
9035,6358723,145,3,17,0.39,0,0,1,0,0,0,1,0,0
9036,6359111,325,1,54,1.21,66,0,0,1,0,0,1,0,0
9037,6359266,75,1,1,0.02,0,0,0,1,0,0,0,1,0
9039,6360639,75,1,48,2.0,348,0,0,0,1,0,1,0,0
9040,6361102,50,3,94,2.07,344,0,1,0,0,0,0,1,0
9041,6361204,150,14,0,0.0,0,0,0,0,1,0,1,0,0
9042,6362061,69,30,12,0.28,51,0,0,1,0,0,1,0,0
9043,6362227,50,4,11,0.62,0,0,1,0,0,0,0,1,0
9044,6362662,65,1,0,0.0,0,0,1,0,0,0,0,1,0
9045,6363059,150,1,9,0.2,0,0,0,1,0,0,1,0,0
9046,6363796,88,2,40,0.9,365,0,0,1,0,0,0,1,0
9047,6364086,190,4,8,0.18,0,0,0,1,0,0,1,0,0
9048,6364117,125,1,1,0.02,0,0,0,1,0,0,0,1,0
9049,6364150,284,4,11,0.25,0,0,0,1,0,0,1,0,0
9050,6364280,150,1,1,0.02,0,0,0,1,0,0,0,1,0
9051,6364324,16,2,31,1.5,179,0,0,1,0,0,0,1,0
9052,6364404,190,6,0,0.0,0,0,0,1,0,0,1,0,0
9053,6364807,60,2,66,1.46,60,0,1,0,0,0,0,1,0
9054,6370773,100,3,46,1.02,149,0,0,1,0,0,1,0,0
9055,6370889,35,1,4,0.09,0,0,0,1,0,0,0,1,0
9056,6371373,105,1,138,3.07,354,0,0,1,0,0,0,1,0
9057,6371504,175,3,4,0.09,0,0,0,1,0,0,1,0,0
9058,6371593,249,1,6,0.13,0,0,0,1,0,0,1,0,0
9059,6371890,110,1,0,0.0,0,0,0,1,0,0,0,1,0
9060,6371982,119,3,37,1.06,363,0,0,1,0,0,1,0,0
9061,6373379,250,1,0,0.0,0,0,0,1,0,0,1,0,0
9062,6373582,129,1,110,2.53,347,0,1,0,0,0,0,1,0
9063,6373770,95,1,74,2.23,54,0,0,1,0,0,0,1,0
9064,6373790,280,1,1,0.02,0,0,0,1,0,0,1,0,0
9065,6374545,200,7,3,0.07,0,0,0,1,0,0,1,0,0
9066,6374694,160,7,30,0.72,59,0,0,1,0,0,1,0,0
9067,6375124,276,3,17,0.38,218,0,1,0,0,0,1,0,0
9068,6375331,130,3,26,0.57,0,0,0,1,0,0,1,0,0
9069,6376345,40,3,2,0.05,0,0,0,1,0,0,1,0,0
9070,6376606,64,3,4,0.09,0,0,0,1,0,0,0,1,0
9071,6377161,399,1,22,0.54,360,0,0,1,0,0,1,0,0
9072,6377384,495,5,8,0.18,0,0,0,1,0,0,1,0,0
9073,6377624,145,2,2,0.06,0,0,1,0,0,0,1,0,0
9074,6377669,53,2,53,1.18,60,0,1,0,0,0,0,1,0
9075,6378298,100,1,72,1.63,0,0,0,0,1,0,1,0,0
9076,6380118,42,3,5,0.12,171,0,1,0,0,0,0,1,0
9077,6380761,200,30,3,0.1,365,0,0,1,0,0,1,0,0
9078,6382031,240,3,15,0.33,90,0,0,1,0,0,1,0,0
9079,6383557,99,2,170,3.84,300,0,0,1,0,0,1,0,0
9080,6384275,130,3,84,1.89,311,0,1,0,0,0,1,0,0
9081,6384383,200,30,8,0.18,365,0,0,1,0,0,0,1,0
9082,6384560,75,1,1,0.02,0,0,1,0,0,0,0,1,0
9083,6384622,45,7,9,0.21,0,0,1,0,0,0,0,1,0
9084,6385039,52,2,93,2.55,237,0,1,0,0,0,0,1,0
9085,6385364,100,1,1,0.02,0,0,0,1,0,0,0,1,0
9086,6385547,350,3,15,0.33,0,0,1,0,0,0,1,0,0
9087,6386823,70,1,68,3.61,42,0,0,1,0,0,0,1,0
9088,6387739,39,4,4,0.16,0,0,1,0,0,0,0,1,0
9089,6388185,218,1,20,0.46,348,0,0,1,0,0,1,0,0
9090,6388315,120,150,0,0.0,365,0,0,1,0,0,1,0,0
9091,6388721,239,2,6,0.21,0,0,0,1,0,0,1,0,0
9092,6389473,500,2,15,0.33,365,0,0,1,0,0,1,0,0
9093,6389979,55,1,39,0.86,365,0,1,0,0,0,0,1,0
9094,6390092,125,1,1,0.02,0,0,1,0,0,0,1,0,0
9095,6390777,375,14,0,0.0,0,0,1,0,0,0,1,0,0
9096,6391062,45,3,3,0.07,0,0,1,0,0,0,0,1,0
9097,6391286,60,7,1,0.02,0,0,0,0,1,0,0,1,0
9098,6391465,75,1,5,1.28,89,0,1,0,0,0,0,1,0
9099,6391684,238,1,127,2.86,9,0,0,1,0,0,1,0,0
9100,6395425,70,5,38,0.88,365,0,0,1,0,0,0,1,0
9101,6395433,65,4,91,2.2,166,1,0,0,0,0,1,0,0
9102,6397059,250,2,0,0.0,0,0,0,1,0,0,0,1,0
9103,6397592,150,2,28,0.62,364,0,0,1,0,0,0,1,0
