,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
64,152263,300,2,183,2.04,263,1,0,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
65,154934,75,1,38,0.45,365,0,1,0,1,0,0,9.0,10.0,8.0,8.0,10.0,9.0
66,160609,200,3,10,0.13,27,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
67,161996,480,3,214,2.32,265,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
68,163809,198,5,36,0.4,250,1,0,0,1,0,0,10.0,10.0,9.0,10.0,10.0,9.0
69,165461,75,5,57,0.63,267,0,1,0,0,1,0,9.0,10.0,9.0,10.0,10.0,9.0
70,167482,185,2,120,1.31,88,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,9.0
71,169002,65,1,36,0.4,365,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,9.0
73,171776,170,2,17,0.19,88,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,9.0
74,172870,99,5,43,0.49,274,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
75,173072,49,2,134,4.28,229,0,0,1,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
76,174966,2000,30,26,0.3,365,1,0,0,0,0,1,10.0,10.0,10.0,9.0,10.0,9.0
77,179428,53,2,62,0.68,310,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
78,181972,199,2,104,1.16,113,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
79,194154,89,6,35,0.39,365,0,1,0,0,0,1,9.0,10.0,9.0,9.0,9.0,9.0
80,197753,65,2,278,3.95,185,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
81,197903,50,3,65,0.72,306,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
